"1C:Enterprise","Application, RAD,  business, general, web, mobile","Yes","No","Yes","Yes","Yes","Yes","Yes","Object-based, Prototype-based programming","No"
"ActionScript 3.0","Application, client-side, web","Yes","Yes","Yes","No","No","No","Yes",,"1996, ECMA"
"Ada","Application, embedded, realtime, system","Yes","Yes","No","Yes","Yes","No","No","concurrent, distributed","1983, 2005, 2012, ANSI, ISO, GOST 27831-88"
"Aldor","Highly domain-specific, symbolic computing","Yes","Yes","Yes","No","No","No","No",,"No"
"ALGOL 58","Application","Yes","No","No","No","No","No","No",,"No"
"ALGOL 60","Application","Yes","No","No","No","No","No","No",,"1960, IFIP WG 2.1, ISO"
"ALGOL 68","Application","Yes","No","No","No","No","No","No","concurrent","1968, IFIP WG 2.1, GOST 27974-88"
"Ateji PX","Parallel application","No","Yes","No","No","No","No","No","pi calculus","No"
"APL","Application, data processing","Yes","Yes","Yes","Yes","Yes","Yes","Yes","array-oriented, tacit","1989, ISO"
"Assembly language","General","Yes","No","No","No","No","No","No","any, syntax is usually highly specific, related to the target processor","IEEE 694-1985"
"AutoHotkey","GUI automation (macros), highly domain-specific","Yes","Yes","No","Yes","No","No","Yes",,"No"
"AutoIt","GUI automation (macros), highly domain-specific","Yes","No","No","Yes","No","No","Yes",,"No"
"Ballerina","Integration, agile, server-side, general","Yes","Yes","Yes","Yes","No","No","Yes","concurrent, transactional, statically and strongly typed programming, diagrammatic / visual programming","2018 De facto standard via Ballerina Language Specification"
"Bash","Shell, scripting","Yes","No","No","Yes","No","No","No",,"No, but optionally POSIX.2"
"BASIC","Application, education","Yes","No","No","Yes","No","No","No",,"1983, ANSI, ISO, ECMA"
"BeanShell","Application, scripting","Yes","Yes","Yes","No","No","Yes","No",,"In progress, JCP"
"BLISS","System","No","No","No","Yes","No","No","No",,"No"
"BlitzMax","Application, game","Yes","Yes","No","Yes","No","Yes","No",,"No"
"Boo","Application, game scripting","No","Yes","No","No","No","No","No",,"No"
"Bro","domain-specific, application","Yes","No","No","No","No","No","Yes",,"No"
"C","Application, system, general purpose, low-level operations","Yes","No","No","Yes","Yes","No","No",,"1989, ANSI C89, ISO C90, ISO C99, ISO C11, ISO C18"
"C++","Application, system","Yes","Yes","Yes","Yes","Yes","No","No",,"1998. ISO/IEC 2003, ISO/IEC 2011,ISO/IEC 2014,ISO/IEC 2017"
"C#","Application, RAD, business, client-side, general, server-side, web","Yes","Yes","Yes","Yes","Yes","Yes","Yes","structured, concurrent","2000, ECMA, ISO"
"Clarion","General, business, web","Yes","Yes","Yes","No","No","No","No",,"Unknown"
"Clean","General","No","No","Yes","No","Yes","No","No",,"No"
"Clojure","General","No","No","Yes","No","No","No","No","concurrent","No"
"CLU","General","Yes","Yes","No","Yes","Yes","No","No",,"No"
"COBOL","Application, business","Yes","Yes","No","Yes","No","No","No",,"ANSI X3.23 1968, 1974, 1985, ISO/IEC 1989:1985, 2002, 2014"
"Cobra","Application, business, general, web","Yes","Yes","Yes","No","Yes","Yes","No",,"No"
"ColdFusion (CFML)","Web","No","Yes","No","Yes","No","No","No",,"No"
"Common Lisp","General","Yes","Yes","Yes","Yes","Yes","Yes","Yes","extensible syntax, Array-oriented, syntactic macros, multiple dispatch, concurrent","1994, ANSI"
"COMAL 80","Education","Yes","No","No","Yes","No","No","No",,"No"
"Crystal","General purpose","Yes","Yes","Yes","Yes","No","No","No","alpha stage","No"
"Cython","Application, general, numerical computing","Yes","Yes","Yes","No","No","Yes","No","aspect-oriented","No"
"D","Application, system","Yes","Yes","Yes","Yes","Yes","Yes","No","generative, concurrent","No"
"Dart","Application, web, server-side, mobile, IoT","Yes","Yes","Yes","No","No","No","No","structured","Ecma-408 standard"
"Dylan","Application","No","Yes","Yes","No","No","No","No",,"No"
